feature_a,feature_b,feature_c,age_band,demo_group,outcome
0.43963660601699356,0.25305485372503767,high,band_3,Group B,1
0.524187842812771,-0.04349678175465726,medium,band_1,Group B,1
0.27627417932855375,-1.098912636865944,low,band_2,Group B,0
-1.4127658838923665,0.018737746871684908,high,band_2,Group B,0
-2.310103436632644,,medium,band_2,Group A,0
0.054353585390382264,-1.3003786467077756,medium,band_1,Group B,0
-0.47177603363833576,0.8134661774570416,high,band_1,Group B,0
0.45938577171661177,0.6695175919198819,low,band_2,Group B,0
0.7019536262212701,-1.9440490136416935,low,band_2,Group A,1
0.13824143205868192,0.052778435005847356,medium,band_3,Group B,0
0.7601330853758538,1.394841663079908,low,band_2,Group A,1
0.22921137411506842,1.471068486675585,medium,band_2,Group B,1
0.5300647056014667,1.4310042114622863,low,band_3,Group B,1
-0.7046732628698824,0.24669584828175178,low,band_2,Group B,0
-0.17961141383145854,-0.8140543935629813,low,band_2,Group B,0
0.19677609665695725,-1.1004385928296727,medium,band_3,Group A,1
0.8205284754174188,0.613525885700429,low,band_1,Group B,0
-0.3937411722245721,0.6551360412381956,low,band_2,Group A,0
0.5211672557321126,1.7447973339260785,high,band_3,Group B,1
-0.265838791915379,1.5199755804105002,medium,band_1,Group B,0
-0.11754216732813036,0.04132561216259349,medium,band_2,Group B,0
0.829519042024073,-1.2930470546330433,low,band_1,Group A,0
-1.993060371054156,-0.18292791641307737,medium,band_1,Group B,0
-1.296472328074761,0.4606774337726296,low,band_2,Group B,1
-1.4821853974428207,,medium,band_1,Group B,0
-2.3336161198483047,-0.49347292969318696,low,band_3,Group A,0
-0.6782644401551767,0.5034617779638787,high,band_3,Group B,1
0.7494338997277404,-0.4047492896927325,high,band_3,Group A,1
-0.28488406638257474,-0.5536793004704488,low,band_1,Group A,0
0.19779008194185213,0.5737434011641275,low,band_1,Group B,1
1.0892174967107926,-0.2823910961550457,low,band_1,Group B,1
1.3276861322676916,0.49292526677402254,medium,band_1,Group B,0
-0.06913793472613955,0.5278448274225472,low,band_3,Group A,1
1.3535858895693973,-1.1673148013098895,high,band_2,Group A,1
0.09212665843410921,-0.3774893486384946,high,band_1,Group B,0
-0.8373982238274621,1.9253323278997547,high,band_3,Group A,1
-0.5944003521987352,-1.1944954152811444,medium,band_2,Group A,1
-1.4805365125650163,-2.339985338764637,high,band_1,Group B,1
-0.8881338537336524,-2.034214183891014,low,band_1,Group A,0
-0.35801668807442916,0.23493193589200306,medium,band_2,Group B,1
0.8035850193786016,0.2371007336392387,medium,band_3,Group B,1
1.7207698311659838,0.05886697348985489,high,band_1,Group B,1
-1.38218151537704,1.6570277947142018,medium,band_3,Group B,0
0.39282746825991893,-3.007401319723525,high,band_3,Group A,0
-1.0405439391575344,0.6751206493169883,low,band_3,Group B,0
0.47469708846320197,2.0737258421642877,high,band_1,Group B,0
-0.1310866506877266,-1.1533369178700568,medium,band_1,Group A,1
-1.8309058258475304,-0.2557678141478741,medium,band_3,Group A,0
0.9282969915684843,-0.703470300674345,high,band_1,Group B,0
-0.605000712808731,-0.8732152552930345,medium,band_2,Group A,0
-0.5339002383735546,-0.19151440602764794,medium,band_3,Group A,1
-1.06975241128969,1.9129823404214055,medium,band_1,Group A,0
-0.6542832766875555,2.4048640105850243,low,band_3,Group B,0
0.4278904406949172,,medium,band_3,Group B,0
-0.18924434093640552,2.486072256877364,low,band_2,Group B,0
0.32866200228248105,0.24269177238154985,low,band_2,Group B,1
0.3619218539288437,2.304429232041297,high,band_3,Group B,1
1.320661655528167,0.08804162041580989,medium,band_2,Group B,1
-0.3427861508643793,0.35726939125537316,medium,band_2,Group A,1
-1.4768578168457318,0.6385693671714014,medium,band_3,Group A,1
